type,t_step,error_A,error_B,diff,filename
Real,50,0.5733580589294434,0.06262508034706116,0.5107329785823822,0816.png
Real,50,0.5599830150604248,0.07089726626873016,0.48908574879169464,0189.png
Real,50,0.569794774055481,0.0978802740573883,0.47191449999809265,0867.png
Real,50,0.5954837799072266,0.06848651170730591,0.5269972681999207,0604.png
Real,50,0.5958391427993774,0.07417159527540207,0.5216675475239754,0008.png
Real,50,0.5987517237663269,0.06557045876979828,0.5331812649965286,0439.png
Real,50,0.5745335817337036,0.08263543248176575,0.49189814925193787,0726.png
Real,50,0.6195236444473267,0.07307328283786774,0.5464503616094589,0427.png
Real,50,0.6107021570205688,0.059833116829395294,0.5508690401911736,0668.png
Real,50,0.61028653383255,0.08792155236005783,0.5223649814724922,0223.png
Real,50,0.6458784937858582,0.07302060723304749,0.5728578865528107,0281.png
Real,50,0.6317163705825806,0.06073957681655884,0.5709767937660217,0759.png
Real,50,0.5086745023727417,0.07604311406612396,0.43263138830661774,0237.png
Real,50,0.6045162081718445,0.06125842034816742,0.5432577878236771,0474.png
Real,50,0.5935561656951904,0.08107048273086548,0.512485682964325,0623.png
Real,50,0.46408993005752563,0.09339980036020279,0.37069012969732285,0851.png
Real,50,0.5892384052276611,0.0658339262008667,0.5234044790267944,0462.png
Real,50,0.6092907190322876,0.08459712564945221,0.5246935933828354,0200.png
Real,50,0.5611727237701416,0.07458627223968506,0.48658645153045654,0229.png
Real,50,0.5946279764175415,0.10210170596837997,0.49252627044916153,0558.png
Real,50,0.5704079866409302,0.062042176723480225,0.50836580991745,0576.png
Real,50,0.5540705919265747,0.05915658175945282,0.4949140101671219,0232.png
Real,50,0.6133668422698975,0.12282752990722656,0.4905393123626709,0076.png
Real,50,0.6359614729881287,0.10513748973608017,0.5308239832520485,0298.png
Real,50,0.5583300590515137,0.0984296053647995,0.4599004536867142,0241.png
Real,50,0.6197929382324219,0.07158708572387695,0.5482058525085449,0776.png
Real,50,0.6074092388153076,0.10106736421585083,0.5063418745994568,0260.png
Real,50,0.583699107170105,0.07065229117870331,0.5130468159914017,0069.png
Real,50,0.4530135989189148,0.09589065611362457,0.3571229428052902,0719.png
Real,50,0.49307069182395935,0.05707313120365143,0.4359975606203079,0627.png
Real,50,0.6239796876907349,0.07980260252952576,0.5441770851612091,0485.png
Real,50,0.5862828493118286,0.06256373226642609,0.5237191170454025,0171.png
Real,50,0.6767584681510925,0.07376620173454285,0.6029922664165497,0098.png
Real,50,0.6626359224319458,0.07380419969558716,0.5888317227363586,0054.png
Real,50,0.5979679822921753,0.1289449781179428,0.4690230041742325,0796.png
Real,50,0.5993049144744873,0.058963045477867126,0.5403418689966202,0566.png
Real,50,0.5625532865524292,0.06965643167495728,0.4928968548774719,0733.png
Real,50,0.6139728426933289,0.15713763236999512,0.45683521032333374,0442.png
Real,50,0.5637837648391724,0.07175299525260925,0.4920307695865631,0517.png
Real,50,0.5660606026649475,0.06827704608440399,0.4977835565805435,0806.png
Real,50,0.612705647945404,0.06445141136646271,0.5482542365789413,0636.png
Real,50,0.5398685932159424,0.08978903293609619,0.4500795602798462,0717.png
Real,50,0.46218129992485046,0.062287647277116776,0.3998936526477337,0628.png
Real,50,0.4669174551963806,0.12329746782779694,0.3436199873685837,0821.png
Real,50,0.4958218038082123,0.06838665902614594,0.42743514478206635,0073.png
Real,50,0.5434433221817017,0.06004750728607178,0.4833958148956299,0262.png
Real,50,0.6460954546928406,0.07731926441192627,0.5687761902809143,0438.png
Real,50,0.5333069562911987,0.07159227132797241,0.4617146849632263,0869.png
Real,50,0.5926327705383301,0.08338706195354462,0.5092457085847855,0861.png
Real,50,0.583642840385437,0.09417328238487244,0.4894695580005646,0348.png
Fake,50,0.6020115613937378,0.08420579135417938,0.5178057700395584,nano_banana_001469.png
Fake,50,0.42521151900291443,0.05509212985634804,0.3701193891465664,nano_banana_000093.png
Fake,50,0.5159693360328674,0.0661076009273529,0.4498617351055145,nano_banana_005652.png
Fake,50,0.37448352575302124,0.055804621428251266,0.31867890432477,nano_banana_002523.png
Fake,50,0.5413430333137512,0.11391150951385498,0.42743152379989624,nano_banana_002071.png
Fake,50,0.5218484401702881,0.055600717663764954,0.46624772250652313,nano_banana_003765.png
Fake,50,0.4689396321773529,0.05983384698629379,0.4091057851910591,nano_banana_003451.png
Fake,50,0.4463210105895996,0.07048361003398895,0.37583740055561066,nano_banana_002636.png
Fake,50,0.40075716376304626,0.07526842504739761,0.32548873871564865,nano_banana_002978.png
Fake,50,0.5616258382797241,0.0742165595293045,0.4874092787504196,nano_banana_001793.png
Fake,50,0.4041016697883606,0.05765242874622345,0.34644924104213715,nano_banana_007545.png
Fake,50,0.5948588848114014,0.07107893377542496,0.5237799510359764,nano_banana_002152.png
Fake,50,0.55974942445755,0.08078312873840332,0.47896629571914673,nano_banana_000536.png
Fake,50,0.4328259825706482,0.08142825961112976,0.35139772295951843,nano_banana_005842.png
Fake,50,0.440255731344223,0.059704966843128204,0.3805507645010948,nano_banana_001966.png
Fake,50,0.5373422503471375,0.07749694585800171,0.45984530448913574,nano_banana_006804.png
Fake,50,0.5453368425369263,0.06618992984294891,0.47914691269397736,nano_banana_005851.png
Fake,50,0.5285263061523438,0.06713945418596268,0.4613868519663811,nano_banana_006182.png
Fake,50,0.5365943908691406,0.063748799264431,0.4728455916047096,nano_banana_003688.png
Fake,50,0.5149301290512085,0.07715833932161331,0.4377717897295952,nano_banana_008183.png
Fake,50,0.5771539807319641,0.10114945471286774,0.4760045260190964,nano_banana_006188.png
Fake,50,0.401442289352417,0.05287397652864456,0.34856831282377243,nano_banana_007097.png
Fake,50,0.6112443804740906,0.05781549960374832,0.5534288808703423,nano_banana_001683.png
Fake,50,0.5413274168968201,0.057345371693372726,0.48398204520344734,nano_banana_000434.png
Fake,50,0.5493924617767334,0.06360669434070587,0.4857857674360275,nano_banana_005588.png
Fake,50,0.4994889497756958,0.07898204028606415,0.42050690948963165,nano_banana_001119.png
Fake,50,0.558819055557251,0.0807194858789444,0.4780995696783066,nano_banana_002285.png
Fake,50,0.5603538751602173,0.08327323943376541,0.4770806357264519,nano_banana_007641.png
Fake,50,0.45919421315193176,0.06989968568086624,0.3892945274710655,nano_banana_005249.png
Fake,50,0.46023911237716675,0.05460413917899132,0.40563497319817543,nano_banana_003202.png
Fake,50,0.37700870633125305,0.05380142480134964,0.3232072815299034,nano_banana_005128.png
Fake,50,0.5735646486282349,0.06993985921144485,0.50362478941679,nano_banana_001828.png
Fake,50,0.5437253713607788,0.06107495725154877,0.48265041410923004,nano_banana_007249.png
Fake,50,0.4739306569099426,0.06487084925174713,0.4090598076581955,nano_banana_003179.png
Fake,50,0.4229322075843811,0.06537164747714996,0.35756056010723114,nano_banana_000826.png
Fake,50,0.4565986692905426,0.049770258367061615,0.406828410923481,nano_banana_007897.png
Fake,50,0.4390776753425598,0.07333287596702576,0.36574479937553406,nano_banana_003137.png
Fake,50,0.4424942135810852,0.09184250235557556,0.35065171122550964,nano_banana_002041.png
Fake,50,0.5123982429504395,0.0818503350019455,0.43054790794849396,nano_banana_008165.png
Fake,50,0.47199124097824097,0.068351149559021,0.40364009141921997,nano_banana_007620.png
Fake,50,0.47985467314720154,0.06442268192768097,0.41543199121952057,nano_banana_001505.png
Fake,50,0.46918344497680664,0.06089142709970474,0.4082920178771019,nano_banana_005483.png
Fake,50,0.5328891277313232,0.10646163672208786,0.4264274910092354,nano_banana_001677.png
Fake,50,0.5441586971282959,0.07201781868934631,0.4721408784389496,nano_banana_002106.png
Fake,50,0.43692970275878906,0.06820553541183472,0.36872416734695435,nano_banana_001248.png
Fake,50,0.4509367346763611,0.0744001716375351,0.376536563038826,nano_banana_007434.png
Fake,50,0.5231329202651978,0.05988258868455887,0.4632503315806389,nano_banana_001709.png
Fake,50,0.4017602205276489,0.05750664696097374,0.3442535735666752,nano_banana_001543.png
Fake,50,0.60055011510849,0.08010077476501465,0.5204493403434753,nano_banana_005854.png
Fake,50,0.5484569072723389,0.06974805891513824,0.4787088483572006,nano_banana_007236.png
Real,100,0.5064531564712524,0.04670153185725212,0.4597516246140003,0816.png
Real,100,0.4977729618549347,0.05753912404179573,0.44023383781313896,0189.png
Real,100,0.5112454891204834,0.07354796677827835,0.43769752234220505,0867.png
Real,100,0.5179276466369629,0.05182299762964249,0.4661046490073204,0604.png
Real,100,0.5407761335372925,0.05226949229836464,0.48850664123892784,0008.png
Real,100,0.5354797840118408,0.04514743760228157,0.49033234640955925,0439.png
Real,100,0.49605709314346313,0.05899171531200409,0.43706537783145905,0726.png
Real,100,0.5619938373565674,0.05320248752832413,0.5087913498282433,0427.png
Real,100,0.5491446256637573,0.044192224740982056,0.5049524009227753,0668.png
Real,100,0.5496867895126343,0.061781324446201324,0.48790546506643295,0223.png
Real,100,0.5701669454574585,0.056743744760751724,0.5134232006967068,0281.png
Real,100,0.5666247010231018,0.04889891296625137,0.5177257880568504,0759.png
Real,100,0.44629979133605957,0.05217369645833969,0.3941260948777199,0237.png
Real,100,0.5429208874702454,0.04813758283853531,0.49478330463171005,0474.png
Real,100,0.5259742736816406,0.06048218160867691,0.4654920920729637,0623.png
Real,100,0.3919048309326172,0.06485915184020996,0.3270456790924072,0851.png
Real,100,0.5210466384887695,0.04620225727558136,0.47484438121318817,0462.png
Real,100,0.5434179306030273,0.05795734003186226,0.4854605905711651,0200.png
Real,100,0.4967588782310486,0.05501639097929001,0.4417424872517586,0229.png
Real,100,0.5347994565963745,0.07578657567501068,0.45901288092136383,0558.png
Real,100,0.500070333480835,0.04846983775496483,0.45160049572587013,0576.png
Real,100,0.49351292848587036,0.04224223271012306,0.4512706957757473,0232.png
Real,100,0.5344489812850952,0.08509511500597,0.4493538662791252,0076.png
Real,100,0.5872084498405457,0.07563446462154388,0.5115739852190018,0298.png
Real,100,0.4708065986633301,0.06824961304664612,0.40255698561668396,0241.png
Real,100,0.547301173210144,0.05399565398693085,0.4933055192232132,0776.png
Real,100,0.5450925827026367,0.07867953926324844,0.4664130434393883,0260.png
Real,100,0.519193708896637,0.05245879292488098,0.466734915971756,0069.png
Real,100,0.3786289691925049,0.07036207616329193,0.30826689302921295,0719.png
Real,100,0.4159877896308899,0.04411507397890091,0.371872715651989,0627.png
Real,100,0.5660967826843262,0.06282161176204681,0.5032751709222794,0485.png
Real,100,0.5221197605133057,0.04886513948440552,0.47325462102890015,0171.png
Real,100,0.6174672842025757,0.05351925641298294,0.5639480277895927,0098.png
Real,100,0.5873817205429077,0.05380944162607193,0.5335722789168358,0054.png
Real,100,0.540453314781189,0.08755389600992203,0.45289941877126694,0796.png
Real,100,0.5254241228103638,0.04657097905874252,0.47885314375162125,0566.png
Real,100,0.5046337246894836,0.051327183842659,0.45330654084682465,0733.png
Real,100,0.5540566444396973,0.12650689482688904,0.4275497496128082,0442.png
Real,100,0.49971529841423035,0.05229836702346802,0.44741693139076233,0517.png
Real,100,0.5039165616035461,0.0511857271194458,0.45273083448410034,0806.png
Real,100,0.55034339427948,0.05428815633058548,0.4960552379488945,0636.png
Real,100,0.4671269953250885,0.06599688529968262,0.4011301100254059,0717.png
Real,100,0.39540597796440125,0.0461839959025383,0.34922198206186295,0628.png
Real,100,0.4128425121307373,0.08870868384838104,0.32413382828235626,0821.png
Real,100,0.4251044988632202,0.04871843010187149,0.3763860687613487,0073.png
Real,100,0.4782734215259552,0.042891163378953934,0.43538225814700127,0262.png
Real,100,0.5971349477767944,0.058781493455171585,0.5383534543216228,0438.png
Real,100,0.4642469882965088,0.05590629577636719,0.4083406925201416,0869.png
Real,100,0.5462270975112915,0.06105348467826843,0.48517361283302307,0861.png
Real,100,0.515661895275116,0.07316381484270096,0.442498080432415,0348.png
Fake,100,0.5471622347831726,0.058272190392017365,0.48889004439115524,nano_banana_001469.png
Fake,100,0.36431416869163513,0.039503343403339386,0.32481082528829575,nano_banana_000093.png
Fake,100,0.4559047222137451,0.04676446691155434,0.4091402553021908,nano_banana_005652.png
Fake,100,0.3146969676017761,0.047462157905101776,0.26723480969667435,nano_banana_002523.png
Fake,100,0.4736124277114868,0.07791610062122345,0.39569632709026337,nano_banana_002071.png
Fake,100,0.45764225721359253,0.04111098125576973,0.4165312759578228,nano_banana_003765.png
Fake,100,0.41325366497039795,0.04924049973487854,0.3640131652355194,nano_banana_003451.png
Fake,100,0.38075971603393555,0.05409704148769379,0.32666267454624176,nano_banana_002636.png
Fake,100,0.3406408429145813,0.05642214044928551,0.2842187024652958,nano_banana_002978.png
Fake,100,0.49933311343193054,0.05470643565058708,0.44462667778134346,nano_banana_001793.png
Fake,100,0.342943012714386,0.04802321642637253,0.29491979628801346,nano_banana_007545.png
Fake,100,0.5288463830947876,0.05605868995189667,0.47278769314289093,nano_banana_002152.png
Fake,100,0.49728965759277344,0.05865084007382393,0.4386388175189495,nano_banana_000536.png
Fake,100,0.3673486113548279,0.05661901831626892,0.31072959303855896,nano_banana_005842.png
Fake,100,0.3780977725982666,0.042396217584609985,0.3357015550136566,nano_banana_001966.png
Fake,100,0.4638521671295166,0.05662078410387039,0.4072313830256462,nano_banana_006804.png
Fake,100,0.48941570520401,0.04657214134931564,0.44284356385469437,nano_banana_005851.png
Fake,100,0.4620324373245239,0.05216403678059578,0.40986840054392815,nano_banana_006182.png
Fake,100,0.47481420636177063,0.04994905740022659,0.42486514896154404,nano_banana_003688.png
Fake,100,0.4557346999645233,0.06326117366552353,0.3924735262989998,nano_banana_008183.png
Fake,100,0.5198302865028381,0.07592499256134033,0.4439052939414978,nano_banana_006188.png
Fake,100,0.3426041007041931,0.04223558306694031,0.3003685176372528,nano_banana_007097.png
Fake,100,0.5422608256340027,0.04458659887313843,0.49767422676086426,nano_banana_001683.png
Fake,100,0.47980350255966187,0.045478399842977524,0.43432510271668434,nano_banana_000434.png
Fake,100,0.49548017978668213,0.04602069780230522,0.4494594819843769,nano_banana_005588.png
Fake,100,0.43893325328826904,0.06008770689368248,0.37884554639458656,nano_banana_001119.png
Fake,100,0.48545461893081665,0.05783510208129883,0.4276195168495178,nano_banana_002285.png
Fake,100,0.4921483099460602,0.060340914875268936,0.43180739507079124,nano_banana_007641.png
Fake,100,0.3768196702003479,0.05171322450041771,0.3251064456999302,nano_banana_005249.png
Fake,100,0.39258044958114624,0.040749553591012955,0.3518308959901333,nano_banana_003202.png
Fake,100,0.30141541361808777,0.04045073688030243,0.26096467673778534,nano_banana_005128.png
Fake,100,0.5113174915313721,0.05487494915723801,0.45644254237413406,nano_banana_001828.png
Fake,100,0.4745606482028961,0.04710700735449791,0.4274536408483982,nano_banana_007249.png
Fake,100,0.4171594977378845,0.05059420317411423,0.3665652945637703,nano_banana_003179.png
Fake,100,0.3546573519706726,0.053214944899082184,0.3014424070715904,nano_banana_000826.png
Fake,100,0.38010627031326294,0.0428273007273674,0.33727896958589554,nano_banana_007897.png
Fake,100,0.38721343874931335,0.053563814610242844,0.3336496241390705,nano_banana_003137.png
Fake,100,0.3819420337677002,0.07197462022304535,0.30996741354465485,nano_banana_002041.png
Fake,100,0.4514906406402588,0.056383661925792694,0.3951069787144661,nano_banana_008165.png
Fake,100,0.40717634558677673,0.04835700988769531,0.3588193356990814,nano_banana_007620.png
Fake,100,0.4136218726634979,0.047536011785268784,0.36608586087822914,nano_banana_001505.png
Fake,100,0.40994173288345337,0.04620196670293808,0.3637397661805153,nano_banana_005483.png
Fake,100,0.46512842178344727,0.07962142676115036,0.3855069950222969,nano_banana_001677.png
Fake,100,0.4960598647594452,0.05511736497282982,0.44094249978661537,nano_banana_002106.png
Fake,100,0.3696577548980713,0.04729074612259865,0.32236700877547264,nano_banana_001248.png
Fake,100,0.3804299235343933,0.055853210389614105,0.3245767131447792,nano_banana_007434.png
Fake,100,0.45243707299232483,0.04569556564092636,0.40674150735139847,nano_banana_001709.png
Fake,100,0.3293151557445526,0.0442153662443161,0.2850997895002365,nano_banana_001543.png
Fake,100,0.5327792167663574,0.05536997318267822,0.4774092435836792,nano_banana_005854.png
Fake,100,0.4872225522994995,0.04997222498059273,0.4372503273189068,nano_banana_007236.png
Real,150,0.4557960629463196,0.03870721161365509,0.4170888513326645,0816.png
Real,150,0.4388037323951721,0.044444743543863297,0.3943589888513088,0189.png
Real,150,0.4678843021392822,0.05570584535598755,0.4121784567832947,0867.png
Real,150,0.4730197787284851,0.0437641516327858,0.4292556270956993,0604.png
Real,150,0.4965481162071228,0.044878169894218445,0.45166994631290436,0008.png
Real,150,0.48495781421661377,0.038171716034412384,0.4467860981822014,0439.png
Real,150,0.4447818994522095,0.05051495507359505,0.3942669443786144,0726.png
Real,150,0.514044463634491,0.04249567538499832,0.47154878824949265,0427.png
Real,150,0.49821022152900696,0.03730035945773125,0.4609098620712757,0668.png
Real,150,0.49607837200164795,0.0505799725651741,0.44549839943647385,0223.png
Real,150,0.5266724228858948,0.04860668256878853,0.47806574031710625,0281.png
Real,150,0.51560378074646,0.04471150413155556,0.4708922766149044,0759.png
Real,150,0.40656933188438416,0.04579664394259453,0.3607726879417896,0237.png
Real,150,0.48819825053215027,0.04127294570207596,0.4469253048300743,0474.png
Real,150,0.4858372211456299,0.04970168322324753,0.43613553792238235,0623.png
Real,150,0.3438699543476105,0.05741169676184654,0.28645825758576393,0851.png
Real,150,0.47464585304260254,0.042237572371959686,0.43240828067064285,0462.png
Real,150,0.49647003412246704,0.05019292235374451,0.44627711176872253,0200.png
Real,150,0.44650667905807495,0.04592105373740196,0.400585625320673,0229.png
Real,150,0.4811335802078247,0.06284627318382263,0.4182873070240021,0558.png
Real,150,0.45080626010894775,0.03585495799779892,0.41495130211114883,0576.png
Real,150,0.4395553171634674,0.036857493221759796,0.4026978239417076,0232.png
Real,150,0.4996703863143921,0.06902360171079636,0.43064678460359573,0076.png
Real,150,0.5489391684532166,0.05873933434486389,0.49019983410835266,0298.png
Real,150,0.4194853901863098,0.05509008467197418,0.36439530551433563,0241.png
Real,150,0.4952867031097412,0.044301629066467285,0.4509850740432739,0776.png
Real,150,0.49471133947372437,0.05821282044053078,0.4364985190331936,0260.png
Real,150,0.4830431342124939,0.044270239770412445,0.43877289444208145,0069.png
Real,150,0.34357333183288574,0.054580800235271454,0.2889925315976143,0719.png
Real,150,0.37901684641838074,0.040113627910614014,0.3389032185077667,0627.png
Real,150,0.5209735035896301,0.05159624293446541,0.4693772606551647,0485.png
Real,150,0.4847598671913147,0.04063676297664642,0.4441231042146683,0171.png
Real,150,0.5711734294891357,0.04159088060259819,0.5295825488865376,0098.png
Real,150,0.544339656829834,0.04373089596629143,0.5006087608635426,0054.png
Real,150,0.48904284834861755,0.06823670864105225,0.4208061397075653,0796.png
Real,150,0.47488537430763245,0.036154624074697495,0.43873075023293495,0566.png
Real,150,0.45100632309913635,0.041055843234062195,0.40995047986507416,0733.png
Real,150,0.4997095465660095,0.10292072594165802,0.3967888206243515,0442.png
Real,150,0.4609963893890381,0.04141589254140854,0.41958049684762955,0517.png
Real,150,0.4602384567260742,0.04009365290403366,0.42014480382204056,0806.png
Real,150,0.5075860023498535,0.042859163135290146,0.46472683921456337,0636.png
Real,150,0.42402946949005127,0.05177086219191551,0.37225860729813576,0717.png
Real,150,0.3574778735637665,0.04115498065948486,0.3163228929042816,0628.png
Real,150,0.3770706057548523,0.06971460580825806,0.30735599994659424,0821.png
Real,150,0.3823430836200714,0.04144100099802017,0.34090208262205124,0073.png
Real,150,0.4333863854408264,0.037433721125125885,0.39595266431570053,0262.png
Real,150,0.5540094375610352,0.045097194612026215,0.5089122429490089,0438.png
Real,150,0.41904139518737793,0.04379458725452423,0.3752468079328537,0869.png
Real,150,0.5082868337631226,0.052391134202480316,0.45589569956064224,0861.png
Real,150,0.46268388628959656,0.06306032836437225,0.3996235579252243,0348.png
Fake,150,0.5027679204940796,0.048557281494140625,0.45421063899993896,nano_banana_001469.png
Fake,150,0.3250802457332611,0.034995704889297485,0.2900845408439636,nano_banana_000093.png
Fake,150,0.41847148537635803,0.042489998042583466,0.37598148733377457,nano_banana_005652.png
Fake,150,0.292965292930603,0.03381538763642311,0.2591499052941799,nano_banana_002523.png
Fake,150,0.43153971433639526,0.06368480622768402,0.36785490810871124,nano_banana_002071.png
Fake,150,0.4191291332244873,0.034485574811697006,0.3846435584127903,nano_banana_003765.png
Fake,150,0.3662508726119995,0.03541458398103714,0.33083628863096237,nano_banana_003451.png
Fake,150,0.3421417474746704,0.04135337099432945,0.30078837648034096,nano_banana_002636.png
Fake,150,0.3117639720439911,0.04698735475540161,0.2647766172885895,nano_banana_002978.png
Fake,150,0.4515623152256012,0.04469709098339081,0.4068652242422104,nano_banana_001793.png
Fake,150,0.3005211055278778,0.034461744129657745,0.26605936139822006,nano_banana_007545.png
Fake,150,0.48302793502807617,0.046067919582128525,0.43696001544594765,nano_banana_002152.png
Fake,150,0.458795964717865,0.048919424414634705,0.4098765403032303,nano_banana_000536.png
Fake,150,0.3354155719280243,0.04899003729224205,0.28642553463578224,nano_banana_005842.png
Fake,150,0.3384001851081848,0.03514980897307396,0.30325037613511086,nano_banana_001966.png
Fake,150,0.4200292229652405,0.048336535692214966,0.3716926872730255,nano_banana_006804.png
Fake,150,0.42794767022132874,0.04417547956109047,0.38377219066023827,nano_banana_005851.png
Fake,150,0.42210230231285095,0.03840130567550659,0.38370099663734436,nano_banana_006182.png
Fake,150,0.43377214670181274,0.03777528181672096,0.3959968648850918,nano_banana_003688.png
Fake,150,0.41463083028793335,0.03962711989879608,0.37500371038913727,nano_banana_008183.png
Fake,150,0.4658435583114624,0.06311782449483871,0.4027257338166237,nano_banana_006188.png
Fake,150,0.30075299739837646,0.0326232835650444,0.26812971383333206,nano_banana_007097.png
Fake,150,0.5046637058258057,0.037874408066272736,0.46678929775953293,nano_banana_001683.png
Fake,150,0.43418726325035095,0.03952581435441971,0.39466144889593124,nano_banana_000434.png
Fake,150,0.4474293291568756,0.03844268620014191,0.4089866429567337,nano_banana_005588.png
Fake,150,0.39719143509864807,0.05437000095844269,0.3428214341402054,nano_banana_001119.png
Fake,150,0.44044411182403564,0.04772355034947395,0.3927205614745617,nano_banana_002285.png
Fake,150,0.4545717239379883,0.04855266958475113,0.40601905435323715,nano_banana_007641.png
Fake,150,0.3351353406906128,0.04435053467750549,0.2907848060131073,nano_banana_005249.png
Fake,150,0.3427721858024597,0.03291347995400429,0.30985870584845543,nano_banana_003202.png
Fake,150,0.26223382353782654,0.03457268327474594,0.2276611402630806,nano_banana_005128.png
Fake,150,0.46436330676078796,0.04643814265727997,0.417925164103508,nano_banana_001828.png
Fake,150,0.43558216094970703,0.04045221209526062,0.3951299488544464,nano_banana_007249.png
Fake,150,0.3752548396587372,0.04088893160223961,0.3343659080564976,nano_banana_003179.png
Fake,150,0.3247755765914917,0.040813591331243515,0.2839619852602482,nano_banana_000826.png
Fake,150,0.33646106719970703,0.03563445806503296,0.3008266091346741,nano_banana_007897.png
Fake,150,0.3399156332015991,0.04256002604961395,0.29735560715198517,nano_banana_003137.png
Fake,150,0.3331845700740814,0.06958410143852234,0.2636004686355591,nano_banana_002041.png
Fake,150,0.4027124047279358,0.04394897446036339,0.3587634302675724,nano_banana_008165.png
Fake,150,0.36347413063049316,0.042475808411836624,0.32099832221865654,nano_banana_007620.png
Fake,150,0.3798635005950928,0.040962859988212585,0.3389006406068802,nano_banana_001505.png
Fake,150,0.3825531303882599,0.03945939615368843,0.34309373423457146,nano_banana_005483.png
Fake,150,0.4208530783653259,0.06050623953342438,0.36034683883190155,nano_banana_001677.png
Fake,150,0.44995296001434326,0.04350052773952484,0.4064524322748184,nano_banana_002106.png
Fake,150,0.33899086713790894,0.040858279913663864,0.29813258722424507,nano_banana_001248.png
Fake,150,0.3414651155471802,0.04474330693483353,0.29672180861234665,nano_banana_007434.png
Fake,150,0.4121972918510437,0.03719830513000488,0.3749989867210388,nano_banana_001709.png
Fake,150,0.28875237703323364,0.03136758506298065,0.257384791970253,nano_banana_001543.png
Fake,150,0.4938420057296753,0.048112571239471436,0.44572943449020386,nano_banana_005854.png
Fake,150,0.44476383924484253,0.039365850389003754,0.4053979888558388,nano_banana_007236.png
Real,200,0.41910433769226074,0.03283478319644928,0.38626955449581146,0816.png
Real,200,0.4002397656440735,0.03537054359912872,0.36486922204494476,0189.png
Real,200,0.4406846761703491,0.04688999056816101,0.3937946856021881,0867.png
Real,200,0.42916762828826904,0.036910030990839005,0.39225759729743004,0604.png
Real,200,0.4529303312301636,0.0348784402012825,0.4180518910288811,0008.png
Real,200,0.44422200322151184,0.033994410187006,0.41022759303450584,0439.png
Real,200,0.4048561453819275,0.04213688150048256,0.36271926388144493,0726.png
Real,200,0.4605522155761719,0.04109165072441101,0.41946056485176086,0427.png
Real,200,0.4596661925315857,0.03385474532842636,0.42581144720315933,0668.png
Real,200,0.4505828619003296,0.04415816813707352,0.4064246937632561,0223.png
Real,200,0.4896019399166107,0.041428834199905396,0.4481731057167053,0281.png
Real,200,0.4730296730995178,0.0347243994474411,0.4383052736520767,0759.png
Real,200,0.3724188804626465,0.04205261915922165,0.33036626130342484,0237.png
Real,200,0.45053619146347046,0.034009434282779694,0.41652675718069077,0474.png
Real,200,0.45570695400238037,0.04293208569288254,0.41277486830949783,0623.png
Real,200,0.3108538091182709,0.04413096606731415,0.2667228430509567,0851.png
Real,200,0.4322892129421234,0.03555062413215637,0.39673858880996704,0462.png
Real,200,0.4586448669433594,0.03978361561894417,0.4188612513244152,0200.png
Real,200,0.4111040532588959,0.03708532452583313,0.37401872873306274,0229.png
Real,200,0.44776296615600586,0.0507088229060173,0.39705414324998856,0558.png
Real,200,0.4121171832084656,0.030741114169359207,0.38137606903910637,0576.png
Real,200,0.4059787094593048,0.029520053416490555,0.37645865604281425,0232.png
Real,200,0.4591260850429535,0.059046193957328796,0.4000798910856247,0076.png
Real,200,0.5128517150878906,0.04615650326013565,0.466695211827755,0298.png
Real,200,0.37468838691711426,0.04566234350204468,0.3290260434150696,0241.png
Real,200,0.45688241720199585,0.0376666784286499,0.41921573877334595,0776.png
Real,200,0.4537797272205353,0.048497505486011505,0.4052822217345238,0260.png
Real,200,0.4522453248500824,0.03526900336146355,0.41697632148861885,0069.png
Real,200,0.31447702646255493,0.04788821190595627,0.26658881455659866,0719.png
Real,200,0.34498003125190735,0.03169894218444824,0.3132810890674591,0627.png
Real,200,0.48269516229629517,0.04076271504163742,0.44193244725465775,0485.png
Real,200,0.4377706050872803,0.036303453147411346,0.4014671519398689,0171.png
Real,200,0.5274117588996887,0.03737569600343704,0.4900360628962517,0098.png
Real,200,0.4915172755718231,0.03942178562283516,0.45209548994898796,0054.png
Real,200,0.4399336278438568,0.06047378480434418,0.37945984303951263,0796.png
Real,200,0.4411223232746124,0.03610098361968994,0.4050213396549225,0566.png
Real,200,0.41369765996932983,0.038812942802906036,0.3748847171664238,0733.png
Real,200,0.45531952381134033,0.08424912393093109,0.37107039988040924,0442.png
Real,200,0.41997867822647095,0.03579360619187355,0.3841850720345974,0517.png
Real,200,0.4203823208808899,0.03545891493558884,0.38492340594530106,0806.png
Real,200,0.4726223349571228,0.036555759608745575,0.43606657534837723,0636.png
Real,200,0.37995412945747375,0.040390536189079285,0.33956359326839447,0717.png
Real,200,0.32566630840301514,0.035561878234148026,0.2901044301688671,0628.png
Real,200,0.3494444489479065,0.059599414467811584,0.2898450344800949,0821.png
Real,200,0.34415340423583984,0.0330691784620285,0.31108422577381134,0073.png
Real,200,0.39631757140159607,0.030292648822069168,0.3660249225795269,0262.png
Real,200,0.5162620544433594,0.04058382287621498,0.4756782315671444,0438.png
