Generator,Accuracy,Precision,Recall,F1-Score,Count
OpenJourney,0.8114035087719298,0.5915032679738562,0.793859649122807,0.6779026217228464,228
SD1_4,0.7850877192982456,0.5567375886524822,0.6885964912280702,0.615686274509804,228
SD1_5,0.7861842105263158,0.558303886925795,0.6929824561403509,0.6183953033268101,228
flux_dev,0.8377192982456141,0.6212121212121212,0.8991228070175439,0.7347670250896058,228
nano_banana,0.7653508771929824,0.5265151515151515,0.6096491228070176,0.5650406504065041,228
std_3.5_large_turbo,0.805921052631579,0.584717607973422,0.7719298245614035,0.665406427221172,228
