Generator,Accuracy,Precision,Recall,F1-Score,Count
OpenJourney,0.7971491228070176,0.559228650137741,0.8903508771929824,0.6869712351945855,228
SD1_4,0.768640350877193,0.5252225519287834,0.7763157894736842,0.6265486725663717,228
SD1_5,0.7828947368421053,0.5428571428571428,0.8333333333333334,0.657439446366782,228
flux_dev,0.8146929824561403,0.5778364116094987,0.9605263157894737,0.7215815485996705,228
nano_banana,0.7598684210526315,0.513677811550152,0.7412280701754386,0.6068222621184919,228
std_3.5_large_turbo,0.7949561403508771,0.556786703601108,0.881578947368421,0.6825127334465195,228
