Generator,Accuracy,Precision,Recall,F1-Score,Count
OpenJourney,0.7390350877192983,0.4876847290640394,0.868421052631579,0.6246056782334385,228
SD1_4,0.7258771929824561,0.4720812182741117,0.8157894736842105,0.5980707395498392,228
SD1_5,0.7324561403508771,0.48,0.8421052631578947,0.6114649681528662,228
flux_dev,0.7576754385964912,0.508274231678487,0.9429824561403509,0.6605222734254992,228
nano_banana,0.6951754385964912,0.43169398907103823,0.6929824561403509,0.531986531986532,228
std_3.5_large_turbo,0.7467105263157895,0.4963680387409201,0.8991228070175439,0.6396255850234009,228
