Generator,Accuracy,Precision,Recall,F1-Score,Count
OpenJourney,0.8442982456140351,0.6592592592592592,0.7807017543859649,0.714859437751004,228
SD1_4,0.8092105263157895,0.6134453781512605,0.6403508771929824,0.6266094420600858,228
SD1_5,0.8157894736842105,0.6229508196721312,0.6666666666666666,0.6440677966101694,228
flux_dev,0.8826754385964912,0.6983606557377049,0.9342105263157895,0.799249530956848,228
nano_banana,0.7927631578947368,0.5874439461883408,0.5745614035087719,0.5809312638580931,228
std_3.5_large_turbo,0.8541666666666666,0.6702508960573477,0.8201754385964912,0.73767258382643,228
