Generator,Accuracy,Precision,Recall,F1-Score,Count
OpenJourney,0.793859649122807,0.5529100529100529,0.9166666666666666,0.6897689768976898,228
SD1_4,0.7741228070175439,0.5305555555555556,0.8377192982456141,0.6496598639455783,228
SD1_5,0.7839912280701754,0.5420054200542005,0.8771929824561403,0.6700167504187605,228
flux_dev,0.8004385964912281,0.5598958333333334,0.9429824561403509,0.7026143790849673,228
nano_banana,0.7587719298245614,0.5115606936416185,0.7763157894736842,0.6167247386759582,228
std_3.5_large_turbo,0.7993421052631579,0.5587467362924282,0.9385964912280702,0.7004909983633388,228
